,Common Name,Scientific Name,Status,Taxon Group
0,Addax,Addax nasomaculatus,Endangered,Mammal
1,"Anoa, lowland",Bubalus depressicornis,Endangered,Mammal
2,"Anoa, mountain",Bubalus quarlesi,Endangered,Mammal
3,"Antelope, giant sable",Hippotragus niger variani,Endangered,Mammal
4,"Antelope, Tibetan",Panthalops hodgsonii,Endangered,Mammal
5,"Argali [All populations except Kyrgyzstan, Mongolia, and Tajikistan]",Ovis ammon,Endangered,Mammal
6,"Argali [Kyrgyzstan, Mongolia, and Tajikistan]",Ovis ammon,Threatened,Mammal
7,"Armadillo, giant",Priodontes maximus,Endangered,Mammal
8,"Armadillo, pink fairy",Chlamyphorus truncatus,Endangered,Mammal
9,"Ass, African wild",Equus africanus,Endangered,Mammal
10,"Ass, Asian wild",Equus hemionus,Endangered,Mammal
11,Avahi,Avahi laniger(=entire genus),Endangered,Mammal
12,Aye-aye,Daubentonia madagascariensis,Endangered,Mammal
13,Babirusa,Babyrousa babyrussa,Endangered,Mammal
14,"Baboon, gelada",Theropithecus gelada,Threatened,Mammal
15,"Bandicoot, barred",Perameles bougainville,Endangered,Mammal
16,"Bandicoot, desert",Perameles eremiana,Endangered,Mammal
17,"Bandicoot, lesser rabbit",Macrotis leucura,Endangered,Mammal
18,"Bandicoot, pig-footed",Chaeropus ecaudatus,Endangered,Mammal
19,"Bandicoot, rabbit",Macrotis lagotis,Endangered,Mammal
20,Banteng,Bos javanicus,Endangered,Mammal
21,"Bat, Bulmer's fruit (flying fox)",Aproteles bulmerae,Endangered,Mammal
22,"Bat, bumblebee",Craseonycteris thonglongyai,Endangered,Mammal
23,"Bat, Florida bonneted",Eumops floridanus,Endangered,Mammal
24,"Bat, gray",Myotis grisescens,Endangered,Mammal
25,"Bat, Hawaiian hoary",Lasiurus cinereus semotus,Endangered,Mammal
26,"Bat, Indiana",Myotis sodalis,Endangered,Mammal
27,"Bat, little Mariana fruit",Pteropus tokudae,Endangered,Mammal
28,"Fruit Bat, Mariana (=fanihi, Mariana flying fox)",Pteropus mariannus mariannus,Threatened,Mammal
29,"Bat, Mexican long-nosed",Leptonycteris nivalis,Endangered,Mammal
30,"Bat, northern long-eared",Myotis septentrionalis,Threatened,Mammal
31,"Bat, Ozark big-eared",Corynorhinus (=Plecotus) townsendii ingens,Endangered,Mammal
32,"Bat, Pacific sheath-tailed (Mariana subspecies) (Payeyi, Paischeey)",Emballonura semicaudata rotensis,Endangered,Mammal
33,"Bat, Pacific sheath-tailed (South Pacific subspecies) (= peapea vai, American Samoa; = tagiti, Samoa; = beka beka, Fiji)",Emballonura semicaudata semicaudata,Endangered,Mammal
34,"Bat, Rodrigues fruit (flying fox)",Pteropus rodricensis,Endangered,Mammal
35,"Bat, Singapore roundleaf horseshoe",Hipposideros ridleyi,Endangered,Mammal
36,"Bat, Virginia big-eared",Corynorhinus (=Plecotus) townsendii virginianus,Endangered,Mammal
37,"Bear, Baluchistan",Ursus thibetanus gedrosianus,Endangered,Mammal
38,"Bear, brown [Italy]",Ursus arctos arctos,Endangered,Mammal
39,"Bear, brown",Ursus arctos pruinosus,Endangered,Mammal
40,"Bear, grizzly",Ursus arctos horribilis,Threatened,Mammal
41,"Bear, grizzly",Ursus arctos horribilis,XN,Mammal
42,"Bear, Mexican grizzly",Ursus arctos,Endangered,Mammal
43,"Bear, polar",Ursus maritimus,Threatened,Mammal
44,Beaver (Mongolia),Castor fiber birulai,Endangered,Mammal
45,"Bison, wood",Bison bison athabascae,Threatened,Mammal
46,"Bison, wood",Bison bison athabascae,XN,Mammal
47,"Bobcat, Mexican",Lynx (=Felis) rufus escuinapae,Endangered,Mammal
48,Bontebok (antelope),Damaliscus pygarus (=dorcas) dorcas,Endangered,Mammal
49,"Camel, Bactrian",Camelus bactrianus,Endangered,Mammal
50,"Caribou, woodland [Southern Selkirk Mountains DPS]",Rangifer tarandus caribou,Endangered,Mammal
51,"Cat, Andean",Felis jacobita,Endangered,Mammal
52,"Cat, Asian golden (=Temminck's)",Catopuma (=Felis) temminckii,Endangered,Mammal
53,"Cat, black-footed",Felis nigripes,Endangered,Mammal
54,"Cat, flat-headed",Prionailurus (=Felis) planiceps,Endangered,Mammal
55,"Cat, Iriomote",Prionailurus (=Felis) bengalensis iriomotensis,Endangered,Mammal
56,"Cat, leopard",Prionailurus (=Felis) bengalensis bengalensis,Endangered,Mammal
57,"Cat, marbled",Pardofelis (=Felis) marmorata,Endangered,Mammal
58,"Cat, Pakistan sand",Felis margarita scheffeli,Endangered,Mammal
59,"Cat, tiger",Leopardus (=Felis) tigrinus,Endangered,Mammal
60,"Chamois, Apennine",Rupicapra rupicapra ornata,Endangered,Mammal
61,Cheetah,Acinonyx jubatus,Endangered,Mammal
62,Chimpanzee,Pan troglodytes,Endangered,Mammal
63,"Chimpanzee, pygmy",Pan paniscus,Endangered,Mammal
64,Chinchilla,Chinchilla brevicaudata boliviana,Endangered,Mammal
65,"Civet, Malabar large-spotted",Viverra civettina (=megaspila c.),Endangered,Mammal
66,"Deer, Bactrian",Cervus elaphus bactrianus,Endangered,Mammal
67,"Deer, Barbary",Cervus elaphus barbarus,Endangered,Mammal
68,"Deer, Calamianes (=Philippine)",Axis porcinus calamianensis,Endangered,Mammal
69,"Deer, Cedros Island mule",Odocoileus hemionus cedrosensis,Endangered,Mammal
70,"Deer, Columbian white-tailed [Columbia River DPS]",Odocoileus virginianus leucurus,Threatened,Mammal
71,"Deer, Corsican red",Cervus elaphus corsicanus,Endangered,Mammal
72,"Deer, Eld's brow-antlered",Cervus eldi,Endangered,Mammal
73,"Deer, Formosan sika",Cervus nippon taiouanus,Endangered,Mammal
74,"Deer, Indochina hog",Axis (=Cervus) porcinus annamiticus,Endangered,Mammal
75,"Deer, key",Odocoileus virginianus clavium,Endangered,Mammal
76,"Deer, Kuhl's (=Bawean)",Axis porcinus kuhli,Endangered,Mammal
77,"Deer, marsh",Blastocerus dichotomus,Endangered,Mammal
78,"Deer, McNeill's",Cervus elaphus macneilii,Endangered,Mammal
79,"Deer, musk",Moschus spp. (all species),Endangered,Mammal
80,"Deer, North China sika",Cervus nippon mandarinus,Endangered,Mammal
81,"Deer, pampas",Ozotoceros bezoarticus,Endangered,Mammal
82,"Deer, Persian fallow",Dama mesopotamica (=dama m.),Endangered,Mammal
83,"Deer, Ryukyu sika",Cervus nippon keramae,Endangered,Mammal
84,"Deer, Shansi sika",Cervus nippon grassianus,Endangered,Mammal
85,"Deer, South China sika",Cervus nippon kopschi,Endangered,Mammal
86,"Deer, swamp",Cervus duvauceli,Endangered,Mammal
87,"Deer, Visayan",Cervus alfredi,Endangered,Mammal
88,"Deer, Yarkand",Cervus elaphus yarkandensis,Endangered,Mammal
89,Dhole,Cuon alpinus,Endangered,Mammal
90,Dibbler,Antechinus apicalis,Endangered,Mammal
91,"Dog, African wild",Lycaon pictus,Endangered,Mammal
92,"Dolphin, Chinese river",Lipotes vexillifer,Endangered,Mammal
93,"Dolphin, South Asian River (Indus River subspecies)",Platanista gangetica minor,Endangered,Mammal
94,"Dolphin, South Island Hector's",Cephalorhynchus hectori hectori,Endangered,Mammal
95,"Dolphin, Maui",Cephalorhynchus hectori maui,Endangered,Mammal
96,Drill,Mandrillus (=Papio) leucophaeus,Endangered,Mammal
97,Dugong,Dugong dugon,Endangered,Mammal
98,"Duiker, Jentink's",Cephalophus jentinki,Endangered,Mammal
99,"Eland, western giant",Taurotragus derbianus derbianus,Endangered,Mammal
100,"Elephant, African",Loxodonta africana,Threatened,Mammal
101,"Elephant, Asian",Elephas maximus,Endangered,Mammal
102,"Ferret, black-footed",Mustela nigripes,Endangered,Mammal
103,"Ferret, black-footed",Mustela nigripes,XN,Mammal
104,"Fox, northern swift",Vulpes velox hebes,Endangered,Mammal
105,"Fox, San Joaquin kit",Vulpes macrotis mutica,Endangered,Mammal
106,"Fox, Santa Catalina Island",Urocyon littoralis catalinae,Threatened,Mammal
107,"Fox, Simien",Canis simensis,Endangered,Mammal
108,"Gazelle, Arabian",Gazella gazella,Endangered,Mammal
109,"Gazelle, Clark's",Ammodorcas clarkei,Endangered,Mammal
110,"Gazelle, dama",Gazella dama,Endangered,Mammal
111,"Gazelle, Mhorr",Gazella dama mhorr,Endangered,Mammal
112,"Gazelle, Moroccan",Gazella dorcas massaesyla,Endangered,Mammal
113,"Gazelle, mountain (=Cuvier's)",Gazella cuvieri,Endangered,Mammal
114,"Gazelle, Rio de Oro Dama",Gazella dama lozanoi,Endangered,Mammal
115,"Gazelle, Pelzeln's",Gazella dorcas pelzelni,Endangered,Mammal
116,"Gazelle, sand",Gazella subgutturosa marica,Endangered,Mammal
117,"Gazelle, Saudi Arabian",Gazella dorcas saudiya,Endangered,Mammal
118,"Gazelle, slender-horned",Gazella leptoceros,Endangered,Mammal
119,Gibbons,Hylobates spp. (including Nomascus ),Endangered,Mammal
120,Goral,Nemorhedus goral,Endangered,Mammal
121,Gorilla,Gorilla gorilla,Endangered,Mammal
122,"Hare, hispid",Caprolagus hispidus,Endangered,Mammal
123,"Hartebeest, Swayne's",Alcelaphus buselaphus swaynei,Endangered,Mammal
124,"Hartebeest, Tora",Alcelaphus buselaphus tora,Endangered,Mammal
125,"Hog, pygmy",Sus salvanius,Endangered,Mammal
126,"Horse, Przewalski's",Equus przewalskii,Endangered,Mammal
127,"Huemul, north Andean",Hippocamelus antisensis,Endangered,Mammal
128,"Huemul, south Andean",Hippocamelus bisulcus,Endangered,Mammal
129,"Hutia, Cabrera's",Capromys angelcabrerai,Endangered,Mammal
130,"Hutia, dwarf",Capromys nana,Endangered,Mammal
131,"Hutia, large-eared",Capromys auritus,Endangered,Mammal
132,"Hutia, little earth",Capromys sanfelipensis,Endangered,Mammal
133,"Hyena, Barbary",Hyaena hyaena barbara,Endangered,Mammal
134,"Hyena, brown",Parahyaena (=Hyaena) brunnea,Endangered,Mammal
135,"Ibex, Pyrenean",Capra pyrenaica pyrenaica,Endangered,Mammal
136,"Ibex, Walia",Capra walie,Endangered,Mammal
137,"Impala, black-faced",Aepyceros melampus petersi,Endangered,Mammal
138,Indri,Indri indri(=entire genus),Endangered,Mammal
139,Jaguar,Panthera onca,Endangered,Mammal
140,"Jaguarundi, Guatemalan",Herpailurus (=Felis) yagouaroundi fossata,Endangered,Mammal
141,"Jaguarundi, Gulf Coast",Herpailurus (=Felis) yagouaroundi cacomitli,Endangered,Mammal
142,"Jaguarundi, Panamanian",Herpailurus (=Felis) yagouaroundi panamensis,Endangered,Mammal
143,"Jaguarundi, Sinaloan",Herpailurus (=Felis) yagouaroundi tolteca,Endangered,Mammal
144,"Kangaroo rat, Fresno",Dipodomys nitratoides exilis,Endangered,Mammal
145,"Kangaroo rat, giant",Dipodomys ingens,Endangered,Mammal
146,"Kangaroo rat, Morro Bay",Dipodomys heermanni morroensis,Endangered,Mammal
147,"Kangaroo rat, San Bernardino Merriam's",Dipodomys merriami parvus,Endangered,Mammal
148,"Kangaroo rat, Stephens'",Dipodomys stephensi (incl. D. cascus),Endangered,Mammal
149,"Kangaroo rat, Tipton",Dipodomys nitratoides nitratoides,Endangered,Mammal
150,"Kangaroo, Tasmanian forester",Macropus giganteus tasmaniensis,Endangered,Mammal
151,Koala,Phascolarctos cinereus,Threatened,Mammal
152,Kouprey,Bos sauveli,Endangered,Mammal
153,"Langur, capped",Trachypithecus (=Presbytis) pileatus,Endangered,Mammal
154,"Langur, Douc",Pygathrix nemaeus,Endangered,Mammal
155,"Langur, Francois'",Trachypithecus (=Presbytis) francoisi,Endangered,Mammal
156,"Langur, golden",Trachypithecus (=Presbytis) geei,Endangered,Mammal
157,"Langur, gray (=entellus)",Semnopithecus (=Presbytis) entellus,Endangered,Mammal
158,"Langur, long-tailed",Presbytis potenziani,Threatened,Mammal
159,"Langur, Pagi Island",Nasalis concolor,Endangered,Mammal
160,"Langur, purple-faced",Presbytis senex,Threatened,Mammal
161,"Lechwe, red",Kobus leche,Threatened,Mammal
162,Lemurs,"Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia )",Endangered,Mammal
163,Leopard,Panthera pardus,Endangered,Mammal
164,Leopard [Southern Africa populations],Panthera pardus,Threatened,Mammal
165,"Leopard, clouded",Neofelis nebulosa,Endangered,Mammal
166,"Leopard, snow",Uncia (=Panthera) uncia,Endangered,Mammal
167,"Linsang, spotted",Prionodon pardicolor,Endangered,Mammal
168,Lion,Panthera leo leo,Endangered,Mammal
169,Lion,Panthera leo melanochaita,Threatened,Mammal
170,"Loris, lesser slow",Nycticebus pygmaeus,Threatened,Mammal
171,"Lynx, Canada [Contiguous U.S. DPS]",Lynx canadensis,Threatened,Mammal
172,"Lynx, Spanish",Felis pardina,Endangered,Mammal
173,"Macaque, Formosan rock",Macaca cyclopis,Threatened,Mammal
174,"Macaque, Japanese",Macaca fuscata,Threatened,Mammal
175,"Macaque, lion-tailed",Macaca silenus,Endangered,Mammal
176,"Macaque, stump-tailed",Macaca arctoides,Threatened,Mammal
177,"Macaque, Toque",Macaca sinica,Threatened,Mammal
178,"Manatee, Amazonian",Trichechus inunguis,Endangered,Mammal
179,"Manatee, West African",Trichechus senegalensis,Threatened,Mammal
180,"Manatee, West Indian",Trichechus manatus,Threatened,Mammal
181,Mandrill,Mandrillus (=Papio) sphinx,Endangered,Mammal
182,"Mangabey, Tana River",Cercocebus galeritus galeritus,Endangered,Mammal
183,"Mangabey, white-collared",Cercocebus torquatus,Endangered,Mammal
184,Margay,Leopardus (=Felis) wiedii,Endangered,Mammal
185,"Markhor, chiltan (=wild goat)",Capra falconeri (=aegagrus) chiltanensis,Endangered,Mammal
186,"Markhor, straight-horned",Capra falconeri megaceros,Threatened,Mammal
187,"Marmoset, buff-headed",Callithrix flaviceps,Endangered,Mammal
188,"Marmoset, cotton-top",Saguinus oedipus,Endangered,Mammal
189,"Marmoset, Goeldi's",Callimico goeldii,Endangered,Mammal
190,"Marmoset, white-eared (=buffy tufted-ear)",Callithrix aurita (=jacchus a.),Endangered,Mammal
191,"Marmot, Vancouver Island",Marmota vancouverensis,Endangered,Mammal
192,"Marsupial, eastern jerboa",Antechinomys laniger,Endangered,Mammal
193,"Marsupial-mouse, large desert",Sminthopsis psammophila,Endangered,Mammal
194,"Marsupial-mouse, long-tailed",Sminthopsis longicaudata,Endangered,Mammal
195,"Marten, Formosan yellow-throated",Martes flavigula chrysospila,Endangered,Mammal
196,"Monkey, black colobus",Colobus satanas,Endangered,Mammal
197,"Monkey, black howler",Alouatta pigra,Threatened,Mammal
198,"Monkey, Diana",Cercopithecus diana,Endangered,Mammal
199,"Monkey, Guizhou snub-nosed",Rhinopithecus brelichi,Endangered,Mammal
200,"Monkey, L'hoest's",Cercopithecus lhoesti,Endangered,Mammal
201,"Monkey, mantled howler",Alouatta palliata,Endangered,Mammal
202,"Monkey, Preuss' red colobus",Procolobus (=Colobus) preussi (=badius p.),Endangered,Mammal
203,"Monkey, proboscis",Nasalis larvatus,Endangered,Mammal
204,"Monkey, red-backed squirrel",Saimiri oerstedii,Endangered,Mammal
205,"Monkey, red-bellied",Cercopithecus erythrogaster,Endangered,Mammal
206,"Monkey, red-eared nose-spotted",Cercopithecus erythrotis,Endangered,Mammal
207,"Monkey, Sichuan snub-nosed",Rhinopithecus roxellana,Endangered,Mammal
208,"Monkey, spider",Ateles geoffroyi frontatus,Endangered,Mammal
209,"Monkey, spider",Ateles geoffroyl panamensis,Endangered,Mammal
210,"Monkey, Tana River red colobus",Procolobus (=Colobus) rufomitratus (=badius r.),Endangered,Mammal
211,"Monkey, Tonkin snub-nosed",Rhinopithecus avunculus,Endangered,Mammal
212,"Monkey, woolly spider",Brachyteles arachnoides,Endangered,Mammal
213,"Monkey, yellow-tailed woolly",Lagothrix flavicauda,Endangered,Mammal
214,"Monkey, Yunnan snub-nosed",Rhinopithecus bieti,Endangered,Mammal
215,"Monkey, Zanzibar red colobus",Procolobus (=Colobus) pennantii (=kirki) kirki,Endangered,Mammal
216,"Mountain beaver, Point Arena",Aplodontia rufa nigra,Endangered,Mammal
217,"Mouse, Alabama beach",Peromyscus polionotus ammobates,Endangered,Mammal
218,"Mouse, Anastasia Island beach",Peromyscus polionotus phasma,Endangered,Mammal
219,"Mouse, Australian native",Notomys aquilo,Endangered,Mammal
220,"Mouse, Australian native",Zyzomys pedunculatus,Endangered,Mammal
221,"Mouse, Choctawhatchee beach",Peromyscus polionotus allophrys,Endangered,Mammal
222,"Mouse, Field's",Pseudomys fieldi,Endangered,Mammal
223,"Mouse, Gould's",Pseudomys gouldii,Endangered,Mammal
224,"Mouse, Key Largo cotton",Peromyscus gossypinus allapaticola,Endangered,Mammal
225,"Mouse, New Holland",Pseudomys novaehollandiae,Endangered,Mammal
226,"Mouse, New Mexico meadow jumping",Zapus hudsonius luteus,Endangered,Mammal
227,"Mouse, Pacific pocket",Perognathus longimembris pacificus,Endangered,Mammal
228,"Mouse, Perdido Key beach",Peromyscus polionotus trissyllepsis,Endangered,Mammal
229,"Mouse, Preble's meadow jumping",Zapus hudsonius preblei,Threatened,Mammal
230,"Mouse, salt marsh harvest",Reithrodontomys raviventris,Endangered,Mammal
231,"Mouse, Shark Bay",Pseudomys praeconis,Endangered,Mammal
232,"Mouse, Shortridge's",Pseudomys shortridgei,Endangered,Mammal
233,"Mouse, smoky",Pseudomys fumeus,Endangered,Mammal
234,"Mouse, southeastern beach",Peromyscus polionotus niveiventris,Threatened,Mammal
235,"Mouse, St. Andrew beach",Peromyscus polionotus peninsularis,Endangered,Mammal
236,"Mouse, western",Pseudomys occidentalis,Endangered,Mammal
237,"Muntjac, Fea's",Muntiacus feae,Endangered,Mammal
238,"Native-cat, eastern",Dasyurus viverrinus,Endangered,Mammal
239,Numbat,Myrmecobius fasciatus,Endangered,Mammal
240,Ocelot,Leopardus (=Felis) pardalis,Endangered,Mammal
241,Orangutan,Pongo pygmaeus,Endangered,Mammal
242,"Oryx, Arabian",Oryx leucoryx,Endangered,Mammal
243,"Oryx, scimitar-horned",Oryx dammah,Endangered,Mammal
244,"Otter, Cameroon clawless",Aonyx congicus (=congica) microdon,Endangered,Mammal
245,"Otter, giant",Pteronura brasiliensis,Endangered,Mammal
246,"Otter, long-tailed",Lontra (=Lutra) longicaudis (incl. platensis ),Endangered,Mammal
247,"Otter, marine",Lontra (=Lutra) felina,Endangered,Mammal
248,"Otter, northern sea [Southwest Alaska DPS]",Enhydra lutris kenyoni,Threatened,Mammal
249,"Otter, southern river",Lontra (=Lutra) provocax,Endangered,Mammal
250,"Otter, southern sea",Enhydra lutris nereis,Threatened,Mammal
251,"Panda, giant",Ailuropoda melanoleuca,Endangered,Mammal
252,"Pangolin, Temnick's ground",Manis temmincki,Endangered,Mammal
253,"Panther, Florida",Puma (=Felis) concolor coryi,Endangered,Mammal
254,"Planigale, little",Planigale ingrami subtilissima,Endangered,Mammal
255,"Planigale, southern",Planigale tenuirostris,Endangered,Mammal
256,"Pocket gopher, Olympia",Thomomys mazama pugetensis,Threatened,Mammal
257,"Pocket gopher, Roy Prairie",Thomomys mazama glacialis,Threatened,Mammal
258,"Pocket gopher, Tenino",Thomomys mazama tumuli,Threatened,Mammal
259,"Pocket gopher, Yelm",Thomomys mazama yelmensis,Threatened,Mammal
260,"Porcupine, thin-spined",Chaetomys subspinosus,Endangered,Mammal
261,"Porpoise, Gulf of California harbor (cochito, vaquita)",Phocoena sinus,Endangered,Mammal
262,"Possum, Leadbeater's",Gymnobelideus leadbeateri,Endangered,Mammal
263,"Possum, mountain pygmy",Burramys parvus,Endangered,Mammal
264,"Possum, scaly-tailed",Wyulda squamicaudata,Endangered,Mammal
265,"Prairie dog, Mexican",Cynomys mexicanus,Endangered,Mammal
266,"Prairie dog, Utah",Cynomys parvidens,Threatened,Mammal
267,"Pronghorn, peninsular",Antilocapra americana peninsularis,Endangered,Mammal
268,"Pronghorn, Sonoran",Antilocapra americana sonoriensis,Endangered,Mammal
269,"Pronghorn, Sonoran",Antilocapra americana sonoriensis,XN,Mammal
270,Pudu,Pudu pudu,Endangered,Mammal
271,Puma (=mountain lion),Puma (=Felis) concolor (all subsp. except coryi ),T(S/A),Mammal
272,"Puma, Costa Rican",Puma (=Felis) concolor costaricensis,Endangered,Mammal
273,Quokka,Setonix brachyurus,Endangered,Mammal
274,"Rabbit, Columbia Basin pygmy [Columbia Basin DPS]",Brachylagus idahoensis,Endangered,Mammal
275,"Rabbit, Lower Keys",Sylvilagus palustris hefneri,Endangered,Mammal
276,"Rabbit, riparian brush",Sylvilagus bachmani riparius,Endangered,Mammal
277,"Rabbit, Ryukyu",Pentalagus furnessi,Endangered,Mammal
278,"Rabbit, volcano",Romerolagus diazi,Endangered,Mammal
279,"Rat, false water",Xeromys myoides,Endangered,Mammal
280,"Rat, stick-nest",Leporillus conditor,Endangered,Mammal
281,"Rat-kangaroo, brush-tailed",Bettongia penicillata,Endangered,Mammal
282,"Rat-kangaroo, desert (=plain)",Caloprymnus campestris,Endangered,Mammal
283,"Rat-kangaroo, Gaimard's",Bettongia gaimardi,Endangered,Mammal
284,"Rat-kangaroo, Lesuer's",Bettongia lesueur,Endangered,Mammal
285,"Rat-kangaroo, Queensland",Bettongia tropica,Endangered,Mammal
286,"Rhinoceros, black",Diceros bicornis,Endangered,Mammal
287,"Rhinoceros, great Indian",Rhinoceros unicornis,Endangered,Mammal
288,"Rhinoceros, Javan",Rhinoceros sondaicus,Endangered,Mammal
289,"Rhinoceros, northern white",Ceratotherium simum cottoni,Endangered,Mammal
290,"Rhinoceros, southern white",Ceratotherium simum simum,T(S/A),Mammal
291,"Rhinoceros, Sumatran",Dicerorhinus sumatrensis,Endangered,Mammal
292,Rice rat [Lower FL Keys DPS],Oryzomys palustris natator,Endangered,Mammal
293,"Saiga, Mongolian (antelope)",Saiga tatarica mongolica,Endangered,Mammal
294,"Saki, southern bearded",Chiropotes satanas satanas,Endangered,Mammal
295,"Saki, white-nosed",Chiropotes albinasus,Endangered,Mammal
296,"Sea lion, Steller [Western DPS]",Eumetopias jubatus,Endangered,Mammal
297,"Seal, bearded [Beringia DPS]",Erignathus barbatus nauticus,Threatened,Mammal
298,"Seal, bearded [Okhotsk DPS]",Erignathus barbatus nauticus,Threatened,Mammal
299,"Seal, Guadalupe fur",Arctocephalus townsendi,Threatened,Mammal
300,"Seal, Hawaiian monk",Neomonachus schauinslandi (=Monachus schauinslandi),Endangered,Mammal
301,"Seal, Mediterranean monk",Monachus monachus,Endangered,Mammal
302,"Seal, ringed (Arctic subspecies)",Phoca (=Pusa) hispida hispida,Threatened,Mammal
303,"Seal, ringed (Baltic subspecies)",Phoca (=Pusa) hispida botnica,Threatened,Mammal
304,"Seal, ringed (Ladoga subspecies)",Phoca (=Pusa) hispida ladogensis,Endangered,Mammal
305,"Seal, ringed (Okhotsk subspecies)",Phoca (=Pusa) hispida ochotensis,Threatened,Mammal
306,"Seal, ringed (Saimaa subspecies)",Phoca hispida saimensis,Endangered,Mammal
307,"Seal, spotted [Southern DPS]",Phoca largha,Threatened,Mammal
308,Seledang,Bos gaurus,Endangered,Mammal
309,Serow,Naemorhedus (=Capricornis) sumatraensis,Endangered,Mammal
310,"Serval, Barbary",Leptailurus (=Felis) serval constantina,Endangered,Mammal
311,Shapo,Ovis vignei vignei,Endangered,Mammal
312,"Sheep, Peninsular bighorn [Peninsular CA DPS]",Ovis canadensis nelsoni,Endangered,Mammal
313,"Sheep, Sierra Nevada bighorn",Ovis canadensis sierrae,Endangered,Mammal
314,Shou,Cervus elaphus wallichi,Endangered,Mammal
315,"Shrew, Buena Vista Lake",Sorex ornatus relictus,Endangered,Mammal
316,Siamang,Symphalangus syndactylus,Endangered,Mammal
317,Sifakas,Propithecus spp.,Endangered,Mammal
318,"Sloth, Brazilian three-toed",Bradypus torquatus,Endangered,Mammal
319,"Solenodon, Cuban",Solenodon cubanus,Endangered,Mammal
320,"Solenodon, Haitian",Solenodon paradoxus,Endangered,Mammal
321,"Squirrel, Carolina northern flying",Glaucomys sabrinus coloratus,Endangered,Mammal
322,"Squirrel, Mount Graham red",Tamiasciurus hudsonicus grahamensis,Endangered,Mammal
323,"Squirrel, northern Idaho ground",Spermophilus brunneus brunneus,Threatened,Mammal
324,"Stag, Barbary",Cervus elaphus barbarus,Endangered,Mammal
325,"Stag, Kashmir",Cervus elaphus hanglu,Endangered,Mammal
326,"Suni, Zanzibar",Neotragus moschatus moschatus,Endangered,Mammal
327,"Tahr, Arabian",Hemitragus jayakari,Endangered,Mammal
328,Tamaraw,Bubalus mindorensis,Endangered,Mammal
329,"Tamarin, golden-rumped",Leontopithecus spp.,Endangered,Mammal
330,"Tamarin, pied",Saguinus bicolor,Endangered,Mammal
331,"Tamarin, white-footed",Saguinus leucopus,Threatened,Mammal
332,"Tapir, Asian",Tapirus indicus,Endangered,Mammal
333,"Tapir, Central American",Tapirus bairdii,Endangered,Mammal
334,"Tapir, mountain",Tapirus pinchaque,Endangered,Mammal
335,"Tapir, South American (=Brazilian)",Tapirus terrestris,Endangered,Mammal
336,"Tarsier, Philippine",Tarsius syrichta,Threatened,Mammal
337,Tiger,Panthera tigris,Endangered,Mammal
338,"Tiger, Tasmanian",Thylacinus cynocephalus,Endangered,Mammal
339,Uakari (all species),Cacajao spp.,Endangered,Mammal
340,Urial,Ovis musimon ophion,Endangered,Mammal
341,"Vicuna [Argentina, Bolivia, Chile and Peru]",Vicugna vicugna,Threatened,Mammal
342,Vicuna [Ecuador DPS],Vicugna vicugna,Endangered,Mammal
343,"Vole, Amargosa",Microtus californicus scirpensis,Endangered,Mammal
344,"Vole, Florida salt marsh",Microtus pennsylvanicus dukecampbelli,Endangered,Mammal
345,"Wallaby, banded hare",Lagostrophus fasciatus,Endangered,Mammal
346,"Wallaby, brindled nail-tailed",Onychogalea fraenata,Endangered,Mammal
347,"Wallaby, crescent nail-tailed",Onychogalea lunata,Endangered,Mammal
348,"Wallaby, Parma",Macropus parma,Endangered,Mammal
349,"Wallaby, western hare",Lagorchestes hirsutus,Endangered,Mammal
350,"Wallaby, yellow-footed rock",Petrogale xanthopus,Endangered,Mammal
351,"Whale, beluga [Cook Inlet DPS]",Delphinapterus leucas,Endangered,Mammal
352,"Whale, blue",Balaenoptera musculus,Endangered,Mammal
353,"Whale, bowhead",Balaena mysticetus,Endangered,Mammal
354,"Whale, false killer [Main Hawaiian Islands Insular DPS]",Pseudorca crassidens,Endangered,Mammal
355,"Whale, finback",Balaenoptera physalus,Endangered,Mammal
356,"Whale, gray [Western North Pacific DPS]",Eschrichtius robustus,Endangered,Mammal
357,"Whale, humpback [Arabian Sea DPS]",Megaptera novaeangliae,Endangered,Mammal
358,"Whale, humpback [Cape Verde Islands/Northwest Africa DPS]",Megaptera novaeangliae,Endangered,Mammal
359,"Whale, humpback [Central America DPS]",Megaptera novaeangliae,Endangered,Mammal
360,"Whale, humpback [Mexico DPS]",Megaptera novaeangliae,Threatened,Mammal
361,"Whale, humpback [Western North Pacific DPS]",Megaptera novaeangliae,Endangered,Mammal
362,"Whale, killer [Southern Resident DPS]",Orcinus orca,Endangered,Mammal
363,"Whale, North Atlantic right",Eubalaena glacialis,Endangered,Mammal
364,"Whale, North Pacific right",Eubalaena japonica,Endangered,Mammal
365,"Whale, sei",Balaenoptera borealis,Endangered,Mammal
366,"Whale, Southern right",Eubalaena australis,Endangered,Mammal
367,"Whale, sperm",Physeter catodon (=macrocephalus),Endangered,Mammal
368,"Wolf, gray",Canis lupus,Endangered,Mammal
369,"Wolf, gray [MN DPS]",Canis lupus,Threatened,Mammal
370,"Wolf, maned",Chrysocyon brachyurus,Endangered,Mammal
371,"Wolf, Mexican",Canis lupus baileyi,Endangered,Mammal
