,Common Name,Scientific Name,Status,Taxon Group
1080,Steelhead [Middle Columbia River DPS],Oncorhynchus mykiss,Threatened,Fish
1081,Steelhead [Middle Columbia River DPS - XN],Oncorhynchus mykiss,XN,Fish
1082,Steelhead [Northern California DPS],Oncorhynchus mykiss,Threatened,Fish
1083,Steelhead [Puget Sound DPS],Oncorhynchus mykiss,Threatened,Fish
1084,Steelhead [Snake River Basin DPS],Oncorhynchus mykiss,Threatened,Fish
1085,Steelhead [South Central California Coast DPS],Oncorhynchus mykiss,Threatened,Fish
1086,Steelhead [Southern California DPS],Oncorhynchus mykiss,Endangered,Fish
1087,Steelhead [Upper Columbia River DPS],Oncorhynchus mykiss,Threatened,Fish
1088,Steelhead [Upper Willamette River DPS],Oncorhynchus mykiss,Threatened,Fish
1089,"Stickleback, unarmored threespine",Gasterosteus aculeatus williamsoni,Endangered,Fish
1090,"Sturgeon, Adriatic",Acipenser naccarii,Endangered,Fish
1091,"Sturgeon, Alabama",Scaphirhynchus suttkusi,Endangered,Fish
1092,"Sturgeon, Atlantic (Atlantic subspecies)[Carolina DPS]",Acipenser oxyrinchus oxyrinchus,Endangered,Fish
1093,"Sturgeon, Atlantic (Atlantic subspecies)[Chesapeake Bay DPS]",Acipenser oxyrinchus oxyrinchus,Endangered,Fish
1094,"Sturgeon, Atlantic (Atlantic subspecies)[Gulf of Maine DPS]",Acipenser oxyrinchus oxyrinchus,Threatened,Fish
1095,"Sturgeon, Atlantic (Atlantic subspecies)[New York Bight DPS]",Acipenser oxyrinchus oxyrinchus,Endangered,Fish
1096,"Sturgeon, Atlantic (Atlantic subspecies)[South Atlantic DPS]",Acipenser oxyrinchus oxyrinchus,Endangered,Fish
1097,"Sturgeon, Atlantic (Gulf subspecies)",Acipenser oxyrinchus desotoi,Threatened,Fish
1098,"Sturgeon, beluga",Huso huso,Threatened,Fish
1099,"Sturgeon, Chinese",Acipenser sinensis,Endangered,Fish
1100,"Sturgeon, European",Acipenser sturio,Endangered,Fish
1101,"Sturgeon, green [Southern DPS]",Acipenser medirostris,Threatened,Fish
1102,"Sturgeon, Kaluga",Huso dauricus,Endangered,Fish
1103,"Sturgeon, pallid",Scaphirhynchus albus,Endangered,Fish
1104,"Sturgeon, Sakhalin",Acipenser mikadoi,Endangered,Fish
1105,"Sturgeon, shortnose",Acipenser brevirostrum,Endangered,Fish
1106,"Sturgeon, shovelnose",Scaphirhynchus platorynchus,Threatened (S/A),Fish
1107,"Sturgeon, white [Kootenai River DPS]",Acipenser transmontanus,Endangered,Fish
1108,"Sucker, June",Chasmistes liorus,Endangered,Fish
1109,"Sucker, Lost River",Deltistes luxatus,Endangered,Fish
1110,"Sucker, razorback",Xyrauchen texanus,Endangered,Fish
1111,"Sucker, Santa Ana [Three CA river basins DPS]",Catostomus santaanae,Threatened,Fish
1112,"Sucker, shortnose",Chasmistes brevirostris,Endangered,Fish
1113,"Sucker, Warner",Catostomus warnerensis,Threatened,Fish
1114,"Sucker, Zuni bluehead",Catostomus discobolus yarrowi,Endangered,Fish
1115,"Sunfish, spring pygmy",Elassoma alabamae,Threatened,Fish
1116,"Tango, Miyako (Tokyo bitterling)",Tanakia tanago,Endangered,Fish
1117,"Temoleh, Ikan (minnow)",Probarbus jullieni,Endangered,Fish
1118,"Topminnow, Gila (incl. Yaqui)",Poeciliopsis occidentalis,Endangered,Fish
1119,Totoaba (seatrout or weakfish),Cynoscion macdonaldi,Endangered,Fish
1120,"Trout, Apache",Oncorhynchus apache,Threatened,Fish
1121,"Trout, bull [Lower 48 States DPS]",Salvelinus confluentus,Threatened,Fish
1122,"Trout, bull",Salvelinus confluentus,XN,Fish
1123,"Trout, Gila",Oncorhynchus gilae,Threatened,Fish
1124,"Trout, greenback cutthroat",Oncorhynchus clarkii stomias,Threatened,Fish
1125,"Trout, Lahontan cutthroat",Oncorhynchus clarkii henshawi,Threatened,Fish
1126,"Trout, Little Kern golden",Oncorhynchus aguabonita whitei,Threatened,Fish
1127,"Trout, Paiute cutthroat",Oncorhynchus clarkii seleniris,Threatened,Fish
1128,Woundfin,Plagopterus argentissimus,Endangered,Fish
1129,Woundfin,Plagopterus argentissimus,XN,Fish
1130,"Acornshell, southern",Epioblasma othcaloogensis,Endangered,Clam
1131,"Bankclimber, purple",Elliptoideus sloatianus,Threatened,Clam
1132,"Bean, Choctaw",Villosa choctawensis,Endangered,Clam
1133,"Bean, Cumberland",Villosa trabalis,Endangered,Clam
1134,"Bean, Cumberland",Villosa trabalis,XN,Clam
1135,"Bean, Cumberland",Villosa trabalis,XN,Clam
1136,"Bean, Purple",Villosa perpurpurea,Endangered,Clam
1137,"Blossom, green",Epioblasma torulosa gubernaculum,Endangered,Clam
1138,"Blossom, tubercled",Epioblasma torulosa torulosa,Endangered,Clam
1139,"Blossom, tubercled",Epioblasma torulosa torulosa,XN,Clam
1140,"Blossom, turgid",Epioblasma turgidula,Endangered,Clam
1141,"Blossom, turgid",Epioblasma turgidula,XN,Clam
1142,"Blossom, yellow",Epioblasma florentina florentina,Endangered,Clam
1143,"Blossom, yellow",Epioblasma florentina florentina,XN,Clam
1144,Purple cat's paw (pearlymussel),Epioblasma obliquata obliquata,Endangered,Clam
1145,Purple cat's paw (pearlymussel),Epioblasma obliquata obliquata,XN,Clam
1146,"Catspaw, white (pearlymussel)",Epioblasma obliquata perobliqua,Endangered,Clam
1147,Clubshell,Pleurobema clava,Endangered,Clam
1148,Clubshell,Pleurobema clava,XN,Clam
1149,"Clubshell, black",Pleurobema curtum,Endangered,Clam
1150,"Clubshell, ovate",Pleurobema perovatum,Endangered,Clam
1151,"Clubshell, southern",Pleurobema decisum,Endangered,Clam
1152,"Combshell, Cumberlandian",Epioblasma brevidens,Endangered,Clam
1153,"Combshell, Cumberlandian",Epioblasma brevidens,XN,Clam
1154,"Combshell, Cumberlandian",Epioblasma brevidens,XN,Clam
1155,"Combshell, southern",Epioblasma (=Dysnomia) penita,Endangered,Clam
1156,"Combshell, upland",Epioblasma metastriata,Endangered,Clam
1157,"Ebonyshell, round",Fusconaia rotulata,Endangered,Clam
1158,"Elktoe, Appalachian",Alasmidonta raveneliana,Endangered,Clam
1159,"Elktoe, Cumberland",Alasmidonta atropurpurea,Endangered,Clam
1160,Fanshell,Cyprogenia stegaria,Endangered,Clam
1161,Fanshell,Cyprogenia stegaria,XN,Clam
1162,"Fatmucket, Arkansas",Lampsilis powelli,Threatened,Clam
1163,"Heelsplitter, inflated",Potamilus inflatus,Threatened,Clam
1164,"Heelsplitter, Carolina",Lasmigona decorata,Endangered,Clam
1165,Higgins eye (pearlymussel),Lampsilis higginsii,Endangered,Clam
1166,"Hornshell, Texas",Popenaias popeii,Endangered,Clam
1167,"Kidneyshell, fluted",Ptychobranchus subtentus,Endangered,Clam
1168,"Kidneyshell, southern",Ptychobranchus jonesi,Endangered,Clam
1169,"Kidneyshell, triangular",Ptychobranchus greenii,Endangered,Clam
1170,"Lampmussel, Alabama",Lampsilis virescens,Endangered,Clam
1171,"Lampmussel, Alabama",Lampsilis virescens,XN,Clam
1172,"Lance, yellow",Elliptio lanceolata,Threatened,Clam
1173,"Lilliput, pale",Toxolasma cylindrellus,Endangered,Clam
1174,"Mapleleaf, winged (mussel)",Quadrula fragosa,Endangered,Clam
1175,"Mapleleaf, winged (mussel)",Quadrula fragosa,XN,Clam
1176,"Moccasinshell, Alabama",Medionidus acutissimus,Threatened,Clam
1177,"Moccasinshell, Coosa",Medionidus parvulus,Endangered,Clam
