"Symbol","Synonym Symbol","Scientific Name","Common Name","Status"
"CABE7","","Camissonia benitensis P.H. Raven","San Benito evening-primrose","T"
"CARO15","","Campanula robinsiae Small","Brooksville bellflower","E"
"CAMO15","","Canavalia molokaiensis O. Deg., I. Deg. & Sauer","`awikiwiki","E"
"CAMI19","","Cardamine micranthera Rollins","small-anthered bittercress","E"
"CALE7","","Carex lemmonii W. Boott","",""
"CALE7","CAAL4","Carex albida L.H. Bailey","white sedge","E"
"CALU26","","Carex lutea LeBlond","golden sedge","E"
"CASP35","","Carex specicola J.T. Howell","",""
"CASP35","CASP9","Carex specuicola J.T. Howell","Navajo sedge","T"
"CAAFN2","","Castilleja affinis Hook. & Arn. ssp. neglecta (Zeile) T.I. Chuang & Heckard","Tiburon paintbrush","E"
"CACAS5","","Castilleja campestris (Benth.) T.I. Chuang & Heckard ssp. succulenta (Hoover) T.I. Chuang & Heckard","fleshy owl's-clover","T"
"CACI6","","Castilleja cinerea A. Gray","ash-grey paintbrush","T"
"CAGR21","","Castilleja grisea Dunkle","San Clemente Island Indian paintbrush","E"
"CALE27","","Castilleja levisecta Greenm.","golden paintbrush","T"
"CAMO8","","Castilleja mollis Pennell","soft-leaved paintbrush","E"
"CAME19","","Catesbaea melanocarpa Krug & Urb.","","E"
"CEFE2","","Ceanothus ferrisiae McMinn","Coyote ceanothus","E"
"CEOP","","Ceanothus ophiochilus Boyd, Ross & Arnseth","Vail Lake ceanothus","T"
"CERO4","","Ceanothus roderickii Knight","Pine Hill ceanothus","E"
"CEAG","","Cenchrus agrimonioides Trin.","kamanomano","E"
"CENA2","","Centaurium namatophilum Reveal, C.R. Broome & Beatley","",""
"CENA2","CENA","Centaurium namophilum Reveal, Broome & Beatley","spring-loving centaury","T"
"CESE6","","Centaurium sebaeoides (Griseb.) Druce","awiwi","E"
"CETR4","","Cercocarpus traskiae Eastw.","Catalina Island mountain-mahogany","E"
"CHGLM2","","Chamaecrista glandulosa (L.) Greene var. mirabilis (Pollard) Irwin & Barneby","","E"
"CHCEK","","Chamaesyce celastroides (Boiss.) Croizat & O. Deg. var. kaenana (Sherff) O. Deg. & I. Deg.","`akoko","E"
"CHDED","","Chamaesyce deltoidea (Engelm. ex Chapm.) Small ssp. deltoidea","deltoid spurge","E"
"CHDE8","","Chamaesyce deppeana (Boiss.) Millsp.","`akoko","E"
"CHGA3","","Chamaesyce garberi (Engelm. ex Chapm.) Small","Garber's spurge","T"
"CHHA2","","Chamaesyce halemanui (Sherff) Croizat & O. Deg.","","E"
"CHHE3","","Chamaesyce herbstii W.L. Wagner","`akoko","E"
"CHHO3","","Chamaesyce hooveri (L.C. Wheeler) Koutnik","Hoover's spurge","T"
"CHKU","","Chamaesyce kuwaleana (O. Deg. & Sherff) O. Deg. & I. Deg.","`akoko","E"
"CHRO2","","Chamaesyce rockii (Forbes) Croizat & O. Deg.","`akoko","E"
"CHSKS","","Chamaesyce skottsbergii (Sherff) Croizat & O. Deg. var. skottsbergii","",""
"CHSKS","CHSKK","Chamaesyce skottsbergii (Sherff) Croizat & O. Deg. var. kalaeloana (Sherff) O. Deg. & I. Deg.","Ewa Plains `akoko","E"
"CHPY2","","Chionanthus pygmaeus Small","pygmy fringe-tree","E"
"CHPU2","","Chlorogalum purpureum Brandegee","purple amole","T"
"CHHO2","","Chorizanthe howellii Goodman","Howell's spineflower","E"
"CHOR","","Chorizanthe orcuttiana Parry","Orcutt's spineflower","E"
"CHPUH2","","Chorizanthe pungens Benth. var. hartwegiana Reveal & Hardham","Ben Lomond spineflower","E"
"CHPUP3","","Chorizanthe pungens Benth. var. pungens","Monterey spineflower","T"
"CHRO","","Chorizanthe robusta Parry","robust spineflower","E"
"CHVA","","Chorizanthe valida S. Watson","Sonoma spineflower","E"
"CHFL8","","Chrysopsis floridana Small","Florida golden aster","E"
"CIFOF","","Cirsium fontinale (Greene) Jeps. var. fontinale","fountain thistle","E"
"CIFOO","","Cirsium fontinale (Greene) Jeps. var. obispoense J.T. Howell","Chorro Creek bog thistle","E"
