"Symbol","Synonym Symbol","Scientific Name","Common Name","Status"
"RHINL","SEINL","Sedum integrifolium (Raf.) A. Nelson ssp. leedyi (Rosend. & J.W. Moore) R.T. Clausen","Leedy's roseroot","T"
"RHCH5","","Rhododendron chapmanii A. Gray","Chapman rhododendron","E"
"RHMI11","","Rhus michauxii Sarg.","Michaux's sumac","E"
"RHKN","","Rhynchospora knieskernii Carey","Knieskern's beaked-rush","T"
"RIEC","","Ribes echinellum (Coville) Rehder","Miccosukee gooseberry","T"
"SAFA5","","Sagittaria fasciculata E.O. Beal","bunched arrowhead","E"
"SASE9","","Sagittaria secundifolia Kral","Kral's water-plantain","T"
"SAMA9","","Sanicula mariversa Nagata & Gon","","E"
"SAPU8","","Sanicula purpurea H. St. John & Hosaka","","E"
"SAFRL2","","Santalum freycinetianum Gaudich. var. lanaiense Rock","Lanai sandalwood","E"
"SAOR3","","Sarracenia oreophila (Kearney) Wherry","green pitcher-plant","E"
"SARUA","","Sarracenia rubra Walter ssp. alabamensis (F.W. Case & R.B. Case) Schnell","Alabama canebrake pitcher-plant","E"
"SARUJ","","Sarracenia rubra Walter ssp. jonesii (Wherry) Wherry","mountain sweet pitcher-plant","E"
"SCCO7","","Scaevola coriacea Nutt.","dwarf naupaka","E"
"SCAD","","Schiedea adamantis H. St. John","Diamond Head schiedea","E"
"SCAP","","Schiedea apokremnos H. St. John","ma`oli`oli","E"
"SCHA4","","Schiedea haleakalensis O. Deg. & Sherff","","E"
"SCHE2","","Schiedea helleri Sherff","","E"
"SCHO","","Schiedea hookeri A. Gray","","E"
"SCKA","","Schiedea kaalae Wawra","","E"
"SCKA4","","Schiedea kauaiensis H. St. John","","E"
"SCKE","","Schiedea kealiae Caum & Hosaka","ma`oli`oli","E"
"SCLA16","","Schiedea laui W.L. Wagner & Weller","","E"
"SCLY2","","Schiedea lydgatei Hillebr.","","E"
"SCME2","","Schiedea membranacea H. St. John","","E"
"SCNU3","","Schiedea nuttallii Hook.","","E"
"SCSA4","","Schiedea sarmentosa O. Deg. & Sherff","","E"
"SCSPL","","Schiedea spergulina A. Gray var. leiopoda Sherff","","E"
"SCSPS","","Schiedea spergulina A. Gray var. spergulina","","T"
"SCST3","","Schiedea stellarioides H. Mann","laulihilihi","E"
"SCVE3","","Schiedea verticillata F. Br.","","E"
"SCAR5","","Schoenocrambe argillacea (S.L. Welsh & N.D. Atwood) Rollins","clay reed-mustard","T"
"SCBA80","","Schoenocrambe barnebyi (S.L. Welsh & N.D. Atwood) Rollins","Barneby reed-mustard","E"
"SCAR2","","Schoepfia arenaria Britton","","T"
"SCAM","","Schwalbea americana L.","American chaffseed","E"
"SCAN5","","Scirpus ancistrochaetus Schuyler","northeastern bulrush","E"
"SCBR12","","Sclerocactus brevispinus K.D. Heil & J.M. Porter","Pariette cactus","T"
"SCGL3","","Sclerocactus glaucus (J.A. Purpus ex K. Schum.) L.D. Benson","Uinta Basin hookless cactus","T"
"SCME4","","Sclerocactus mesae-verdae (Boissev. & C. Davidson) L.D. Benson","Mesa Verde cactus","T"
"SCSI3","","Sclerocactus sileri (L.D. Benson) K.D. Heil & J.M. Porter","",""
"SCWE","","Sclerocactus wetlandicus Hochstätter","Uinta Basin hookless cactus","T"
"SCWR","","Sclerocactus wrightiae L.D. Benson","Wright fishhook cactus","E"
"SCFL4","","Scutellaria floridana Chapm.","Florida skullcap","T"
"SCMO6","","Scutellaria montana Chapm.","large-flowered skullcap","T"
"SELE7","","Sedella leiocarpa H. Sharsm.","",""
"SELE7","PALE8","Parvisedum leiocarpum (H. Sharsm.) R.T. Clausen","Lake County stonecrop","E"
"SENE9","","Serianthes nelsonii Merr.","hayun iagu, tronkon guafi","E"
"SETO3","","Sesbania tomentosa Hook. & Arn.","ohai","E"
"SIFI","","Sibara filifolia (Greene) Greene","Santa Cruz Island rockcress","E"
"SIAL7","","Sicyos albus (H. St. John) Telford","`anunu","E"
"SIKE","","Sidalcea keckii Wiggins","Keck's checker-mallow","E"
"SINE2","","Sidalcea nelsoniana Piper","Nelson's checker-mallow","T"
"SIORC2","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray ssp. oregana var. calva C.L. Hitchc.","Wenatchee Mountains checkermallow","E"
"SIORV","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray ssp. valida (Greene) C.L. Hitchc.","Kenwood Marsh checker-mallow","E"
"SIPE4","","Sidalcea pedata A. Gray","pedate checker-mallow","E"
"SIAL4","","Silene alexandri Hillebr.","","E"
"SIHA5","","Silene hawaiiensis Sherff","","T"
"SILA7","","Silene lanceolata A. Gray","","E"
"SIPE5","","Silene perlmanii W.L. Wagner, D.R. Herbst & Sohmer","","E"
"SIPO","","Silene polypetala (Walter) Fernald & B.G. Schub.","fringed campion","E"
"SISP2","","Silene spaldingii S. Watson","Spalding's catchfly","T"
"SIDI5","","Sisyrinchium dichotomum E.P. Bicknell","white irisette","E"
"SOBAB","","Solanum bahamense L. var. bahamense","",""
"SOBAB","SODR2","Solanum drymophilum O.E. Schulz","erubia","E"
"SOIN","","Solanum incompletum Dunal","Popolo ku mai","E"
"SOSA4","","Solanum sandwicense Hook. & Arn.","`aiakeakua, popolo","E"
"SOAL3","","Solidago albopilosa E.L. Braun","white-haired goldenrod","T"
"SOSH","","Solidago shortii Torr. & A. Gray","Short's goldenrod","E"
"SOSP6","","Solidago spithamaea M.A. Curtis","Blue Ridge goldenrod","T"
"SPHA2","","Spermolepis hawaiiensis H. Wolff","","E"
"SPAL6","","Spigelia alabamensis (K. Gould) K.G. Mathews & Weakley","",""
"SPAL6","SPGE4","Spigelia gentianoides Chapm. ex A. DC.","gentian pinkroot","E"
"SPGE","","Spigelia gentianoides Chapm. ex A. DC.","gentian pinkroot","E"
"SPVI2","","Spiraea virginiana Britton","Virginia spiraea","T"
"SPDE6","","Spiranthes delitescens Sheviak","Canelo Hills ladies'-tresses","E"
"SPDI6","","Spiranthes diluvialis Sheviak","Ute ladies'-tresses","T"
"SPPA5","","Spiranthes parksii Correll","Navasota ladies'-tresses","E"
"STMO","","Stahlia monosperma (Tul.) Urb.","cobana negra","T"
"STCA23","","Stanfordia californica S. Watson","",""
"STCA23","CACA21","Caulanthus californicus (S. Watson) Payson","California jewelflower","E"
"STAN3","","Stenogyne angustifolia A. Gray","","E"
"STBI3","","Stenogyne bifida Hillebr.","","E"
"STCA12","","Stenogyne campanulata Weller & Sakai","","E"
"STKA3","","Stenogyne kanehoana O. Deg. & Sherff","","E"
"STKA4","","Stenogyne kauaulaensis K.R. Wood & H. Oppenh.","","E"
"STMA5","","Stephanomeria malheurensis Gottlieb","Malheur wire-lettuce","E"
"STALA","","Streptanthus albidus Greene ssp. albidus","Metcalf Canyon jewelflower","E"
"STNI2","","Streptanthus niger Greene","Tiburon jewelflower","E"
"STPLT","","Styrax platanifolius Engelm. ssp. texanus (Cory) P.W. Fritsch","",""
"STPLT","STTE5","Styrax texanus Cory","Texas snowbells","E"
"STPO3","","Styrax portoricensis Krug & Urb.","palo de jazmin","E"
"SUCA","","Suaeda californica S. Watson","California seablite","E"
"SWAL","","Swallenia alexandrae (Swallen) Söderst. & Decker","Eureka Dune grass","E"
"TACA5","","Taraxacum californicum Munz & I.M. Johnst.","California taraxacum","E"
"TEES","","Tectaria estremeriana Proctor & A.M. Evans","","E"
"TELU2","","Ternstroemia luquillensis Krug & Urb.","palo colorado","E"
"TESU","","Ternstroemia subsessilis (Britton) Kobuski","","E"
"TEAR3","","Tetramolopium arenarium (A. Gray) Hillebr.","","E"
"TECA7","","Tetramolopium capillare (Gaudich.) H. St. John","pamakani","E"
"TEFI2","","Tetramolopium filiforme Sherff","","E"
"TELEL2","","Tetramolopium lepidotum (Less.) Sherff ssp. lepidotum","","E"
"TERE3","","Tetramolopium remyi (A. Gray) Hillebr.","","E"
"TERO","","Tetramolopium rockii Sherff","","T"
"TEHE4","","Tetraneuris herbacea Greene","",""
"TEHE4","HYHE4","Hymenoxys herbacea (Greene) Cusick","lakeside daisy","T"
"TEGY","","Tetraplasandra gymnocarpa (Hillebr.) Sherff","`ohe`ohe","E"
"THCO5","","Thalictrum cooleyi H.E. Ahles","Cooley's meadowrue","E"
"THHOS2","","Thelypodium howellii S. Watson ssp. spectabilis (M. Peck) Al-Shehbaz","",""
"THHOS2","THHOS","Thelypodium howellii S. Watson var. spectabilis M. Peck","Howell's spectacular thelypody","T"
"THST","","Thelypodium stenopetalum S. Watson","slender-petaled mustard","E"
"THIN3","","Thelypteris inabonensis Proctor","","E"
"THPIA","","Thelypteris pilosa (M. Martens & Galeotti) Crawford var. alabamensis Crawford","Alabama streak-sorus fern","T"
"THVE2","","Thelypteris verecunda Proctor","","E"
"THYA","","Thelypteris yaucoensis Proctor","","E"
"THTE8","","Thymophylla tephroleuca (S.F. Blake) Strother","ashy dogweed","E"
"THCO9","","Thysanocarpus conchuliferus Greene","Santa Cruz Island fringepod","E"
"TOTA","","Torreya taxifolia Arn.","Florida torreya","E"
"TOAP","","Townsendia aprica S.L. Welsh & Reveal","Last Chance townsendia","T"
"TRSI5","","Trematolobelia singularis H. St. John","","E"
"TRTR8","","Trichilia triacantha Urb.","bariaco","E"
"TRAUC","","Trichostema austromontanum F.H. Lewis ssp. compactum F.H. Lewis","Hidden Lake bluecurls","T"
"TRAM3","","Trifolium amoenum Greene","showy Indian clover","E"
"TRST4","","Trifolium stoloniferum Muhl. ex Eaton","running buffalo clover","E"
"TRTR","","Trifolium trichocalyx A. Heller","Monterey clover","E"
"TRPE7","","Trillium persistens Duncan","persistent trillium","E"
"TRRE6","","Trillium reliquum J.D. Freeman","relict trillium","E"
"TUGR","","Tuctoria greenei (Vasey) J. Reeder","Greene's tuctoria","E"
"TUMU","","Tuctoria mucronata (Crampton) J. Reeder","Solano grass","E"
"URKA","","Urera kaalae Wawra","opuhe","E"
"VECA9","","Verbena californica Moldenke","Red Hills vervain","T"
"VEDI","","Verbesina dissita A. Gray","big-leaved crownbeard","T"
"VEPR","","Vernonia proctori Urbatsch","","E"
"VIME","","Vicia menziesii Spreng.","Hawaiian vetch","E"
"VIOW","","Vigna owahuensis Vogel","","E"
"VICHC","","Viola chamissoniana Gingins ssp. chamissoniana","pamakani","E"
"VIHE2","","Viola helenae Forbes & Lydgate","","E"
"VIKAW","","Viola kauaensis A. Gray var. wahiawaensis Forbes","Nani wai`ale`ale","E"
"VILA17","","Viola lanaiensis Becker","","E"
"VIOA","","Viola oahuensis Forbes","","E"
"WAAM","","Warea amplexifolia (Nutt.) Nutt.","wide-leaf warea","E"
"WACA","","Warea carteri Small","Carter's mustard","E"
"WIHO3","","Wilkesia hobdyi H. St. John","dwarf iliau","E"
"XYCR","","Xylosma crenata (H. St. John) H. St. John","","E"
"XYTE","","Xyris tennesseensis Kral","Tennessee yellow-eyed grass","E"
"YEXA","","Yermo xanthocephalus Dorn","desert yellowhead","T"
"ZADIT","","Zanthoxylum dipetalum H. Mann var. tomentosum Rock","A`e","E"
"ZAHA","","Zanthoxylum hawaiiense Hillebr.","A`e","E"
"ZATH","","Zanthoxylum thomasianum (Krug & Urb.) Krug & Urb. ex P. Wilson","St. Thomas prickly-ash","E"
"ZITE","","Zizania texana Hitchc.","Texas wild-rice","E"
"ZICE","","Ziziphus celata W.S. Judd & D.W. Hall","Florida ziziphus","E"
